y,ds,unique_id,index,PatchTST,PatchTST-median,PatchTST-lo-100,PatchTST-lo-90,PatchTST-hi-90,PatchTST-hi-100
357.0,2025-07-26 15:45:00,series_1,6,272.60458,273.27588,-79.97455,252.13,295.25238,325.26816
343.0,2025-07-26 15:55:00,series_1,8,271.45312,271.6341,160.33104,248.47263,297.09998,342.20947
369.0,2025-07-26 18:40:00,series_1,5,287.13525,287.38715,189.48154,265.4573,310.10245,339.6
385.0,2025-07-26 19:05:00,series_1,10,289.09882,288.7716,183.58824,267.60486,312.37445,345.13367
250.0,2025-07-27 18:05:00,series_1,10,166.01947,165.85803,15.512939,144.87068,186.94405,232.16855
297.0,2025-08-01 16:30:00,series_1,3,220.30179,220.25198,166.16902,202.6486,239.91093,277.84634
139.0,2025-08-04 06:00:00,series_1,9,48.97911,49.283585,-133.40703,17.466558,78.57435,109.09842
173.0,2025-08-04 06:05:00,series_1,10,50.628098,50.47357,-195.40707,20.587076,81.406044,145.21153
185.0,2025-08-04 06:10:00,series_1,11,50.342728,49.879257,-28.917858,16.20985,81.76978,179.27051
137.0,2025-08-06 05:55:00,series_1,8,48.50535,48.67386,-75.209,22.937096,75.9955,127.78784
132.0,2025-08-06 06:00:00,series_1,9,45.269802,45.163414,-91.95232,18.77144,71.773735,125.72598
