run_id,experiment_id,status,start_time,end_time,tags.mlflow.runName,metrics.n_parameters,metrics.rolling_forecast_mae,metrics.rolling_forecast_mse,metrics.rolling_forecast_smape,params.h,params.input_size,params.max_steps,params.lr,params.learning_rate
e04d87000601438ea114825d3be0a29f,769503152781081453,FAILED,2025-09-09 01:50:29.662000+00:00,2025-09-09 01:50:36.421000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,
f1bc4a86ba2a41eaae8ca6ad19f737dc,769503152781081453,FAILED,2025-09-09 01:50:29.646000+00:00,2025-09-09 01:50:36.421000+00:00,PatchTST run 1,,,,,,,,,
7ca6d7d40cdb47e4966fcb72a422423d,769503152781081453,FAILED,2025-09-09 01:44:38.251000+00:00,2025-09-09 01:44:44.636000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,
8d3067e16db44ac7bd53436a43d9d7b8,769503152781081453,FAILED,2025-09-09 01:44:38.234000+00:00,2025-09-09 01:44:44.637000+00:00,PatchTST run 1,,,,,,,,,
3d25f29f51384bcf9b173477fcd2a07f,769503152781081453,FAILED,2025-09-09 01:41:15.668000+00:00,2025-09-09 01:41:21.973000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,
4b1374699c514bb5b07a4b8c0f8723cd,769503152781081453,FAILED,2025-09-09 01:41:15.648000+00:00,2025-09-09 01:41:21.973000+00:00,PatchTST run 1,,,,,,,,,
2ce55471b4944331942f0697e0044566,769503152781081453,FAILED,2025-09-09 01:38:19.763000+00:00,2025-09-09 01:38:26.088000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,
ca459acc3ed54cf79edcae724766d3eb,769503152781081453,FAILED,2025-09-09 01:38:19.747000+00:00,2025-09-09 01:38:26.088000+00:00,PatchTST run 1,,,,,,,,,
dbd5bde9df0b4ceeb530d9bf0eb6e724,769503152781081453,FAILED,2025-09-09 01:37:26.554000+00:00,2025-09-09 01:37:26.567000+00:00,PatchTST run 1,,,,,,,,,
067238406e0a4f10ac2426e022d90fa6,769503152781081453,FAILED,2025-09-09 01:37:03.055000+00:00,2025-09-09 01:37:03.070000+00:00,PatchTST run 1,,,,,,,,,
47cda28f78b54d33995a020b98de14ae,769503152781081453,FAILED,2025-09-09 01:33:26.377000+00:00,2025-09-09 01:33:26.406000+00:00,PatchTST run 1,,,,,,,,,
030959026ae74672bc215767fe83c89c,769503152781081453,FINISHED,2025-09-09 01:24:05.227000+00:00,2025-09-09 01:24:16.398000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,0.001
44d9fc92998b410eb69b9befb07d3759,769503152781081453,FINISHED,2025-09-09 01:24:05.180000+00:00,2025-09-09 01:24:27.969000+00:00,PatchTST run 1,419620.0,18.624006271362305,704.4190063476562,0.12351660430431366,12,72,100,1e-3,
893dc11f48514e75933fa97d7bd1d074,769503152781081453,FAILED,2025-09-09 01:22:51.787000+00:00,2025-09-09 01:22:59.669000+00:00,PatchTST run 1,419620.0,,,,12,72,100,,0.001
885cf3d799d2473ea36f688022d17450,769503152781081453,FAILED,2025-09-09 01:22:51.742000+00:00,2025-09-09 01:22:59.669000+00:00,PatchTST run 1,,,,,,,,,
