y,ds,unique_id,index,TimesNet,TimesNet-median,TimesNet-lo-100,TimesNet-lo-95,TimesNet-lo-90,TimesNet-lo-85,TimesNet-lo-80,TimesNet-hi-80,TimesNet-hi-85,TimesNet-hi-90,TimesNet-hi-95,TimesNet-hi-100
91.0,2025-06-09 00:00:00,series_1,0,31.268007,30.902176,-89.451,-27.918365,-15.499292,-6.4277887,-1.370422,63.68553,67.66392,74.28837,85.11849,164.68388
103.0,2025-06-09 00:05:00,series_1,1,28.884787,28.977512,-133.41283,-42.23906,-24.595795,-12.987382,-5.7891264,65.72143,73.50334,81.454544,94.33304,145.57193
84.0,2025-06-09 00:10:00,series_1,2,33.294426,33.502296,-366.10443,-34.022102,-17.008736,-8.863564,-2.2194946,68.8351,75.49788,82.77609,97.11589,273.90735
78.0,2025-06-09 00:20:00,series_1,4,7.396543,9.7180195,-296.48044,-64.719505,-43.69142,-34.797127,-28.950827,45.275116,49.45316,57.779827,67.6424,242.62703
76.0,2025-06-09 00:25:00,series_1,5,6.920462,7.0347185,-287.13248,-69.54803,-49.713394,-39.45359,-30.10209,47.013355,53.70446,61.81516,78.639,247.5191
73.0,2025-06-09 00:30:00,series_1,6,-0.8318872,-1.1957498,-252.5034,-71.58545,-53.91423,-44.11282,-37.875797,38.722378,44.68118,52.738266,74.802505,576.7656
55.0,2025-06-09 00:35:00,series_1,7,-4.6778536,-5.5206695,-148.41821,-75.718,-56.316555,-46.35608,-41.328552,33.23002,38.725304,49.13006,63.289722,204.52501
69.0,2025-06-09 01:00:00,series_1,0,21.689373,21.5159,-117.207825,-31.719856,-17.122522,-11.259796,-6.9262867,50.397682,53.804966,60.566586,72.69294,179.10764
61.0,2025-06-09 01:20:00,series_1,4,22.673298,24.098938,-248.63939,-26.226295,-13.289126,-6.991858,-4.596873,49.508617,54.155205,59.643764,71.24609,120.06968
63.0,2025-06-09 01:25:00,series_1,5,20.705442,20.984661,-193.5606,-39.52862,-20.98589,-15.079213,-8.732745,49.708862,55.50571,62.144363,72.83702,200.45071
60.0,2025-06-09 01:30:00,series_1,6,16.080389,16.621597,-198.22815,-42.157978,-23.606707,-17.833479,-11.237061,48.01737,52.949036,58.846672,67.64081,158.75436
64.0,2025-06-09 02:20:00,series_1,4,24.644136,26.115898,-118.539185,-25.55236,-12.393077,-6.405681,-1.8166368,50.263638,53.12654,59.075836,72.28431,223.11536
55.0,2025-06-09 02:40:00,series_1,8,11.310834,11.797245,-143.87984,-36.447758,-24.445871,-19.746067,-15.593021,38.158722,43.50398,48.75625,58.065586,108.47665
62.0,2025-06-09 02:45:00,series_1,9,6.9380293,6.634373,-255.49463,-43.19555,-32.5325,-26.446793,-23.673796,36.134377,42.49412,49.970184,62.586506,145.4736
52.0,2025-06-09 02:50:00,series_1,10,-0.13715136,-0.14863928,-295.52533,-60.856453,-43.39231,-36.391655,-31.43824,29.86253,36.794865,44.732563,67.221634,270.1114
46.0,2025-06-09 05:10:00,series_1,2,77.91233,77.90907,-47.49491,37.765095,46.960743,51.61825,55.78079,99.779945,103.624886,110.392685,119.07821,197.92639
