y,ds,unique_id,index,TimesNet,TimesNet-median,TimesNet-lo-100,TimesNet-lo-95,TimesNet-lo-90,TimesNet-lo-85,TimesNet-lo-80,TimesNet-hi-80,TimesNet-hi-85,TimesNet-hi-90,TimesNet-hi-95,TimesNet-hi-100
378.0,2025-06-09 19:55:00,series_1,11,327.24496,325.88516,134.62128,263.1725,277.95752,284.9857,288.36813,362.92496,368.7934,375.72833,393.92493,647.4025
403.0,2025-06-09 20:15:00,series_1,3,367.83432,368.51846,283.34116,326.54642,336.034,342.6318,346.33557,391.32462,394.98877,398.9499,407.06213,471.0189
431.0,2025-06-09 20:20:00,series_1,4,366.2371,367.42938,285.08182,320.58197,330.6359,335.31696,340.0364,391.18915,394.56784,399.57324,406.09705,491.19858
412.0,2025-06-09 20:25:00,series_1,5,371.71472,371.8313,262.74426,318.64502,329.5467,336.28714,341.23648,401.87576,405.8883,411.9417,419.0969,520.8327
331.0,2025-06-09 21:25:00,series_1,5,409.25168,409.6363,230.96065,330.9196,344.38232,354.74692,363.0373,456.35257,462.3267,470.9153,483.58414,723.53345
337.0,2025-06-09 21:30:00,series_1,6,406.4556,408.2202,91.99817,320.9139,339.70172,348.60968,354.28958,455.64142,464.02032,476.4923,495.69235,577.3446
327.0,2025-06-09 21:35:00,series_1,7,408.48694,408.73264,124.22101,311.10513,327.64893,341.22778,348.41055,467.15002,472.76352,484.7875,509.02045,607.3041
315.0,2025-06-09 21:40:00,series_1,8,406.94955,406.03848,122.62247,303.93564,325.38153,335.40497,343.15286,468.9072,482.47873,497.68985,519.76105,635.07117
290.0,2025-06-09 21:45:00,series_1,9,396.8075,396.4419,140.5344,289.08673,316.19693,327.80142,337.0564,460.062,466.68808,480.84296,496.6813,714.6934
290.0,2025-06-09 21:50:00,series_1,10,404.37515,402.81055,-6.8611755,265.37558,291.879,303.22006,318.17682,486.10995,497.75977,514.05695,539.56464,765.47363
249.0,2025-06-09 22:05:00,series_1,1,276.5561,276.5273,133.80226,240.94136,249.09726,252.82686,256.20984,297.50677,299.82544,304.49637,311.13672,381.21436
238.0,2025-06-09 22:10:00,series_1,2,270.27136,270.0691,185.58517,231.40465,239.44382,244.66118,248.0222,292.29727,296.35306,301.3389,308.49228,395.26825
174.0,2025-06-09 22:40:00,series_1,8,222.18726,221.626,118.6558,168.81075,180.6988,184.89961,190.02707,255.37833,260.8767,266.08002,281.2513,448.52582
141.0,2025-06-09 23:00:00,series_1,0,164.34312,164.35863,63.709206,135.03784,141.42435,145.29066,147.95006,179.42801,181.87952,186.1746,193.18648,251.19044
81.0,2025-06-10 01:05:00,series_1,1,38.627335,38.541187,-73.67782,2.016514,8.148565,11.529596,14.655221,61.3258,65.36681,70.54145,77.75714,149.83359
60.0,2025-06-10 03:40:00,series_1,8,24.403969,24.534962,-103.63329,-15.294176,-5.5081453,-1.2760954,2.4523854,46.850655,50.235645,56.496918,62.475357,145.26836
56.0,2025-06-10 03:45:00,series_1,9,19.631437,19.34389,-156.1211,-23.833578,-14.167427,-8.344104,-4.430035,45.01864,47.893135,53.862625,62.208637,154.0794
115.0,2025-06-10 05:55:00,series_1,11,56.70201,56.05347,-129.22897,3.433693,14.726222,22.547642,26.785816,88.686584,93.16893,103.71324,116.9933,229.49524
135.0,2025-06-10 06:00:00,series_1,0,91.68542,91.57489,-28.071655,38.946754,49.379787,56.645103,61.982662,119.82106,124.01954,127.867485,141.84158,235.97798
157.0,2025-06-10 06:10:00,series_1,2,99.983574,100.7829,-209.16777,26.93904,44.597775,52.92337,60.750816,140.7388,148.07724,156.60524,165.77461,308.4503
163.0,2025-06-10 06:15:00,series_1,3,102.32257,103.27961,-95.70177,25.474272,46.298218,55.04989,62.23418,140.57793,147.17339,155.05057,172.3027,529.17584
176.0,2025-06-10 06:30:00,series_1,6,113.0973,114.28528,-236.5455,39.940132,53.344715,62.28941,68.44531,158.36699,162.93034,174.35849,188.84906,302.49243
176.0,2025-06-10 06:40:00,series_1,8,115.608215,116.14336,-39.545853,40.847206,60.524628,69.66161,74.95701,156.74171,162.23808,173.34569,186.06256,292.3746
184.0,2025-06-10 06:50:00,series_1,10,112.10972,111.4512,-151.87749,33.188423,52.921967,63.824303,70.133736,158.20416,162.92487,171.87666,190.68553,380.57343
232.0,2025-06-10 07:00:00,series_1,0,192.19597,191.57513,113.7161,153.19095,160.31902,165.89482,169.52924,214.17017,217.58278,223.14291,234.39278,325.81207
242.0,2025-06-10 11:00:00,series_1,0,284.65085,284.28427,128.00847,239.57301,247.93683,253.04536,257.18616,311.07132,316.10986,320.5055,332.84534,426.15793
236.0,2025-06-10 11:15:00,series_1,3,294.62872,296.0036,127.44133,223.83055,246.21974,253.43161,258.8966,330.51834,335.13324,342.1775,353.85532,557.6601
226.0,2025-06-10 13:00:00,series_1,0,275.44012,275.5323,216.00534,252.42972,258.11935,262.0029,263.57825,286.56744,288.03577,291.1598,294.65723,384.27914
207.0,2025-06-10 13:05:00,series_1,1,275.9019,275.58093,233.74777,250.8188,255.95674,258.92984,260.2712,290.4334,292.38046,296.0999,301.4249,342.44693
207.0,2025-06-10 13:10:00,series_1,2,276.89157,276.91812,214.20952,249.72096,256.10788,260.11377,262.79404,290.9166,293.27396,296.08063,302.745,341.7072
228.0,2025-06-10 13:15:00,series_1,3,276.5158,276.86667,166.9383,245.2551,253.30719,257.32248,259.75174,293.14966,295.63968,298.9705,307.64832,361.25424
